caminho,silaba
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_3_6.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gwa/과_7_6.jpg,gwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/won/원_4_0.jpg,won
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ji/지_8_2.jpg,ji
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jo/조_8_3.jpg,jo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_1_2.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_3_8.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dong/동_5_2.jpg,dong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_7_3.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/reul/를_9_7.jpg,reul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bo/보_5_2.jpg,bo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_7_6.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_4_1.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/deul/들_1_6.jpg,deul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_4_5.jpg,gyeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_3_4.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_7_5.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_5_0.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_3_8.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_4_7.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_1_5.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seu/스_9_0.jpg,seu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gim/김_2_5.jpg,gim
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_6_9.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gi/가_4_3.jpg,gi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_5_8.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/su/수_9_5.jpg,su
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/da/다_5_7.jpg,da
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_0_9.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hae/해_2_6.jpg,hae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_2_3.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_7_7.jpg,gyeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_1_7.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/deul/들_8_4.jpg,deul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gi/가_6_9.jpg,gi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_3_2.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeon/전_7_5.jpg,jeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/in/인_1_7.jpg,in
