epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2818,0.68934,1.3181,0.99856,0.90914,0.72852,0.88707,0.77342,0.4798,1.41838,0.84006,0.000649123,0.000649123,0.000649123
2,23.3108,0.52076,0.65428,0.9167,0.56128,0.31234,0.35596,0.25278,0.70593,2.26214,1.07554,0.00125066,0.00125066,0.00125066
3,30.797,0.52912,0.61907,0.91851,0.90695,0.67969,0.80023,0.67737,0.87981,1.4824,1.31355,0.00178619,0.00178619,0.00178619
4,38.1012,0.49425,0.54082,0.90963,0.85597,0.74288,0.82882,0.72214,0.72219,1.04777,1.16176,0.001703,0.001703,0.001703
5,44.7966,0.46203,0.48774,0.89588,0.95443,0.98047,0.99209,0.90553,0.48664,0.53755,0.90697,0.001604,0.001604,0.001604
6,51.759,0.45332,0.46743,0.89901,0.96952,0.93945,0.97985,0.94114,0.34663,0.4831,0.84838,0.001505,0.001505,0.001505
7,59.8407,0.4444,0.43489,0.90442,0.9883,0.98949,0.99349,0.96413,0.28969,0.3389,0.80185,0.001406,0.001406,0.001406
8,67.4398,0.4131,0.39631,0.88789,0.99707,0.99805,0.995,0.96925,0.27919,0.27893,0.80074,0.001307,0.001307,0.001307
9,73.7997,0.4078,0.38217,0.89334,0.9841,0.96697,0.99293,0.96403,0.29336,0.32113,0.81543,0.001208,0.001208,0.001208
10,81.1104,0.39714,0.36324,0.88184,0.99611,0.99976,0.995,0.97976,0.25624,0.25173,0.79191,0.001109,0.001109,0.001109
11,91.4381,0.32799,0.36749,0.83661,0.99803,0.99155,0.99498,0.96821,0.2677,0.26587,0.78979,0.00101,0.00101,0.00101
12,99.7514,0.31873,0.32307,0.82237,0.98466,0.99219,0.99396,0.97262,0.24927,0.26412,0.79516,0.000911,0.000911,0.000911
13,107.071,0.31521,0.31991,0.82884,0.99295,0.99609,0.9949,0.97847,0.25712,0.24552,0.79333,0.000812,0.000812,0.000812
14,114.241,0.30983,0.29493,0.83479,0.98461,0.99945,0.99469,0.98189,0.23671,0.23591,0.7901,0.000713,0.000713,0.000713
15,121.12,0.28694,0.2806,0.81593,0.98815,0.99609,0.99478,0.98237,0.2345,0.23501,0.78852,0.000614,0.000614,0.000614
16,127.646,0.27852,0.27506,0.81308,0.99157,0.99805,0.99488,0.98888,0.21856,0.21772,0.78697,0.000515,0.000515,0.000515
17,134.167,0.25785,0.24946,0.80114,0.99389,1,0.99498,0.98911,0.2023,0.19309,0.78198,0.000416,0.000416,0.000416
18,141.49,0.26291,0.24148,0.81681,0.99805,0.99803,0.995,0.99053,0.19676,0.17893,0.78069,0.000317,0.000317,0.000317
19,148.677,0.24471,0.22892,0.81044,0.99611,0.99953,0.995,0.99165,0.18627,0.17079,0.7794,0.000218,0.000218,0.000218
20,155.441,0.23904,0.21821,0.80687,1,0.99871,0.995,0.99288,0.17735,0.16272,0.77849,0.000119,0.000119,0.000119
